result_id,driver_id,numero,position,points
1,1,22,1,10
2,2,3,2,8
3,3,7,3,6
4,4,5,4,5
5,5,23,5,4
6,6,8,6,3
7,7,14,7,2
8,8,1,8,1
9,9,4,0,0
10,10,12,0,0
11,11,18,0,0
12,12,6,0,0
13,13,2,0,0
14,14,9,0,0
15,15,11,0,0
16,16,20,0,0
17,17,10,0,0
18,18,16,0,0
19,19,19,0,0
20,20,15,0,0
21,21,21,0,0
22,22,17,0,0
23,8,1,1,10
24,9,4,2,8
25,5,23,3,6
26,15,11,4,5
27,1,22,5,4
28,2,3,6,3
29,17,10,7,2
30,4,5,8,1
31,14,9,9,0
32,18,16,10,0
33,12,6,11,0
34,21,21,12,0
35,22,17,13,0
36,3,7,14,0
37,19,19,15,0
38,11,18,16,0
39,6,8,17,0
40,20,15,0,0
41,13,2,0,0
42,16,20,0,0
43,10,12,0,0
44,7,14,0,0
45,13,2,1,10
46,8,1,2,8
47,9,4,3,6
48,2,3,4,5
49,5,23,5,4
50,15,11,6,3
51,17,10,7,2
52,3,7,8,1
53,10,12,9,0
54,4,5,10,0
55,22,17,11,0
56,21,21,12,0
57,1,22,13,0
58,6,8,14,0
59,7,14,15,0
60,19,19,16,0
61,11,18,17,0
62,14,9,18,0
63,16,20,19,0
64,12,6,0,0
65,18,16,0,0
66,20,15,0,0
67,8,1,1,10
68,13,2,2,8
69,1,22,3,6
70,9,4,4,5
71,17,10,5,4
72,18,16,6,3
73,6,8,7,2
74,15,11,8,1
75,2,3,9,0
76,21,21,10,0
77,10,12,11,0
78,14,9,12,0
79,11,18,13,0
80,3,7,0,0
81,4,5,0,0
82,22,17,0,0
83,5,23,0,0
84,19,19,0,0
85,7,14,0,0
86,12,6,0,0
87,16,20,0,0
88,20,15,0,0
89,13,2,1,10
90,1,22,2,8
91,8,1,3,6
92,9,4,4,5
93,2,3,5,4
94,4,5,6,3
95,17,10,7,2
96,3,7,8,1
97,14,9,9,0
98,15,11,10,0
99,18,16,11,0
100,5,23,12,0
101,10,12,13,0
102,22,17,14,0
103,12,6,15,0
104,16,20,16,0
105,20,15,17,0
106,7,14,0,0
107,6,8,0,0
108,21,21,0,0
109,1,22,1,10
110,9,4,2,8
111,13,2,3,6
112,17,10,4,5
113,20,15,5,4
114,22,17,6,3
115,6,8,7,2
116,5,23,8,1
117,8,1,9,0
118,4,5,10,0
119,18,16,11,0
120,10,12,12,0
121,15,11,13,0
122,2,3,14,0
123,16,20,0,0
124,3,7,0,0
125,12,6,0,0
126,21,21,0,0
127,14,9,0,0
128,7,14,0,0
129,9,4,1,10
130,2,3,2,8
131,14,9,3,6
132,10,12,4,5
133,13,2,5,4
134,15,11,6,3
135,22,17,7,2
136,20,15,8,1
137,5,23,9,0
138,3,7,10,0
139,18,16,11,0
140,17,10,12,0
141,7,14,13,0
142,21,21,0,0
143,6,8,0,0
144,4,5,0,0
145,12,6,0,0
146,8,1,0,0
147,1,22,0,0
148,16,20,0,0
149,13,2,1,10
150,8,1,2,8
151,15,11,3,6
152,5,23,4,5
153,9,4,5,4
154,17,10,6,3
155,12,6,7,2
156,4,5,8,1
157,14,9,9,0
158,1,22,10,0
159,10,12,11,0
160,20,15,12,0
161,2,3,13,0
162,22,17,14,0
163,6,8,15,0
164,3,7,16,0
165,7,14,17,0
166,21,21,18,0
167,16,20,19,0
168,18,16,0,0
169,1,22,1,10
170,2,3,2,8
171,22,17,3,6
172,8,1,4,5
173,5,23,5,4
174,4,5,6,3
175,15,11,7,2
176,6,8,8,1
177,3,7,9,0
178,17,10,10,0
179,7,14,11,0
180,10,12,12,0
181,13,2,13,0
182,9,4,0,0
183,18,16,0,0
184,12,6,0,0
185,21,21,0,0
186,16,20,0,0
187,20,15,0,0
188,14,9,0,0
189,1,22,1,10
190,12,6,2,8
191,13,2,3,6
192,2,3,4,5
193,5,23,5,4
194,8,1,6,3
195,9,4,7,2
196,20,15,8,1
197,15,11,9,0
198,3,7,10,0
199,4,5,11,0
200,7,14,12,0
201,14,9,13,0
202,6,8,14,0
203,16,20,15,0
204,21,21,16,0
205,18,16,17,0
206,22,17,0,0
207,17,10,0,0
208,10,12,0,0
209,5,23,1,10
210,10,12,2,8
211,8,1,3,6
212,4,5,4,5
213,1,22,5,4
214,12,6,6,3
215,15,11,7,2
216,9,4,8,1
217,17,10,9,0
218,2,3,10,0
219,14,9,11,0
220,18,16,12,0
221,6,8,13,0
222,3,7,14,0
223,21,21,15,0
224,22,17,16,0
225,13,2,17,0
226,7,14,18,0
227,16,20,0,0
228,20,15,0,0
229,13,2,1,10
230,1,22,2,8
231,9,4,3,6
232,5,23,4,5
233,15,11,5,4
234,20,15,6,3
235,10,12,7,2
236,3,7,8,1
237,2,3,9,0
238,7,14,10,0
239,12,6,11,0
240,17,10,12,0
241,18,16,13,0
242,21,21,14,0
243,6,8,15,0
244,22,17,16,0
245,14,9,17,0
246,8,1,0,0
247,16,20,0,0
248,4,5,0,0
249,13,2,1,10
250,2,3,2,8
251,1,22,3,6
252,4,5,4,5
253,20,15,5,4
254,9,4,6,3
255,7,14,7,2
256,17,10,8,1
257,10,12,9,0
258,5,23,10,0
259,14,9,11,0
260,3,7,12,0
261,16,20,13,0
262,6,8,14,0
263,18,16,15,0
264,15,11,16,0
265,21,21,17,0
266,8,1,18,0
267,22,17,0,0
268,12,6,0,0
269,20,15,1,10
270,5,23,2,8
271,9,4,3,6
272,4,5,4,5
273,2,3,5,4
274,13,2,6,3
275,1,22,7,2
276,17,10,8,1
277,8,1,9,0
278,12,6,10,0
279,10,12,11,0
280,6,8,12,0
281,15,11,13,0
282,3,7,14,0
283,18,16,15,0
284,14,9,16,0
285,22,17,17,0
286,7,14,18,0
287,16,20,19,0
288,21,21,0,0
289,4,5,1,10
290,3,7,2,8
291,1,22,3,6
292,10,12,4,5
293,20,15,5,4
294,2,3,6,3
295,14,9,7,2
296,6,8,8,1
297,18,16,9,0
298,5,23,10,0
299,9,4,11,0
300,7,14,12,0
301,13,2,13,0
302,21,21,14,0
303,8,1,15,0
304,15,11,0,0
305,16,20,0,0
306,17,10,0,0
307,22,17,0,0
308,12,6,0,0
309,4,5,1,10
310,9,4,2,8
311,8,1,3,6
312,12,6,4,5
313,15,11,5,4
314,20,15,6,3
315,13,2,7,2
316,17,10,8,1
317,2,3,9,0
318,7,14,10,0
319,3,7,11,0
320,1,22,12,0
321,22,17,13,0
322,18,16,14,0
323,6,8,15,0
324,21,21,0,0
325,5,23,0,0
326,16,20,0,0
327,10,12,0,0
328,14,9,0,0
329,1,22,1,10
330,13,2,2,8
331,8,1,3,6
332,4,5,4,5
333,2,3,5,4
334,9,4,6,3
335,10,12,7,2
336,12,6,8,1
337,20,15,9,0
338,14,9,10,0
339,22,17,11,0
340,6,8,12,0
341,7,14,13,0
342,17,10,14,0
343,3,7,15,0
344,18,16,16,0
345,21,21,17,0
346,5,23,0,0
347,16,20,0,0
348,15,11,0,0
349,13,2,1,10
350,4,5,2,8
351,8,1,3,6
352,20,15,4,5
353,1,22,5,4
354,10,12,6,3
355,5,23,7,2
356,15,11,8,1
357,17,10,9,0
358,2,3,10,0
359,9,4,11,0
360,3,7,12,0
361,18,16,13,0
362,7,14,14,0
363,22,17,15,0
364,16,20,16,0
365,6,8,17,0
366,21,21,18,0
367,12,6,0,0
368,14,9,0,0
369,8,6,1,10
370,4,1,2,8
371,1,2,3,6
372,2,9,4,5
373,21,3,5,4
374,13,5,6,3
375,3,16,7,2
376,23,11,8,1
377,15,12,9,0
378,5,4,10,0
379,22,8,11,0
380,11,22,12,0
381,17,15,13,0
382,24,18,14,0
383,18,7,15,0
384,19,23,16,0
385,16,20,17,0
386,25,17,0,0
387,14,14,0,0
388,9,10,0,0
389,26,19,0,0
390,27,21,0,0
391,4,1,1,10
392,1,2,2,8
393,8,6,3,6
394,2,9,4,5
395,13,5,5,4
396,21,3,6,3
397,15,12,7,2
398,5,4,8,1
399,25,17,9,0
400,17,15,10,0
401,22,8,11,0
402,18,7,12,0
403,11,22,13,0
404,26,19,14,0
405,23,11,15,0
406,19,23,16,0
407,24,18,17,0
408,9,10,18,0
409,3,16,0,0
410,14,14,0,0
411,27,21,0,0
412,16,20,0,0
413,13,5,1,10
414,1,2,2,8
415,8,6,3,6
416,2,9,4,5
417,4,1,5,4
418,9,10,6,3
419,15,12,7,2
420,21,3,8,1
421,5,4,9,0
422,3,16,10,0
423,25,17,11,0
424,23,11,12,0
425,22,8,13,0
426,27,21,14,0
427,16,20,15,0
428,19,23,16,0
429,17,15,0,0
430,14,14,0,0
431,11,22,0,0
432,24,18,0,0
433,18,7,0,0
434,26,19,0,0
435,13,5,1,10
436,1,2,2,8
437,4,1,3,6
438,9,10,4,5
439,14,14,5,4
440,3,16,6,3
441,5,4,7,2
442,11,22,8,1
443,21,3,9,0
444,22,8,10,0
445,19,23,11,0
446,18,7,12,0
447,16,20,13,0
448,27,21,14,0
449,2,9,0,0
450,23,11,0,0
451,24,18,0,0
452,26,19,0,0
453,8,6,0,0
454,15,12,0,0
455,17,15,0,0
456,25,17,0,0
457,4,1,1,10
458,1,2,2,8
459,13,5,3,6
460,21,3,4,5
461,9,10,5,4
462,2,9,6,3
463,25,17,7,2
464,8,6,8,1
465,26,19,9,0
466,22,8,10,0
467,18,7,11,0
468,3,16,12,0
469,5,4,13,0
470,14,14,14,0
471,15,12,15,0
472,23,11,16,0
473,11,22,17,0
474,19,23,18,0
475,27,21,19,0
476,16,20,0,0
477,17,15,0,0
478,24,18,0,0
479,1,2,1,10
480,2,9,2,8
481,25,17,3,6
482,5,4,4,5
483,8,6,5,4
484,11,22,6,3
485,4,1,7,2
486,23,11,8,1
487,17,15,9,0
488,3,16,10,0
489,19,23,11,0
490,22,8,12,0
491,15,12,0,0
492,24,18,0,0
493,27,21,0,0
494,14,14,0,0
495,9,10,0,0
496,16,20,0,0
497,26,19,0,0
498,18,7,0,0
499,13,5,0,0
500,21,3,0,0
501,1,2,1,10
502,4,1,2,8
503,13,5,3,6
504,8,6,4,5
505,5,4,5,4
506,15,12,6,3
507,17,15,7,2
508,20,10,8,1
509,21,3,9,0
510,25,17,10,0
511,19,23,11,0
512,18,7,12,0
513,26,19,13,0
514,16,20,14,0
515,27,21,15,0
516,3,16,16,0
517,24,18,17,0
518,2,9,0,0
519,11,22,0,0
520,14,14,0,0
521,22,8,0,0
522,23,11,0,0
523,8,6,1,10
524,13,5,2,8
525,1,2,3,6
526,9,10,4,5
527,2,9,5,4
528,21,3,6,3
529,4,1,7,2
530,18,7,8,1
531,3,16,9,0
532,23,11,10,0
533,22,8,11,0
534,17,15,12,0
535,14,14,13,0
536,25,17,14,0
537,5,4,15,0
538,11,22,16,0
539,16,20,17,0
540,26,19,0,0
541,27,21,0,0
542,19,23,0,0
543,15,12,0,0
544,24,18,0,0
545,8,6,1,10
546,4,1,2,8
547,1,2,3,6
548,9,10,4,5
549,13,5,5,4
550,2,9,6,3
551,5,4,7,2
552,21,3,8,1
553,22,8,9,0
554,18,7,10,0
555,14,14,11,0
556,3,16,12,0
557,25,17,13,0
558,11,22,14,0
559,27,21,15,0
560,24,18,16,0
561,15,12,0,0
562,19,23,0,0
563,26,19,0,0
564,23,11,0,0
565,16,20,0,0
566,17,15,0,0
567,4,1,1,10
568,13,5,2,8
569,17,15,3,6
570,25,17,4,5
571,14,14,5,4
572,2,9,6,3
573,9,10,7,2
574,5,4,8,1
575,1,2,9,0
576,21,3,10,0
577,22,8,11,0
578,19,23,12,0
579,15,12,13,0
580,8,6,0,0
581,11,22,0,0
582,23,11,0,0
583,28,21,0,0
584,18,7,0,0
585,16,20,0,0
586,3,16,0,0
587,26,19,0,0
588,24,18,0,0
589,1,2,1,10
590,8,6,2,8
591,2,9,3,6
592,4,1,4,5
593,9,10,5,4
594,23,11,6,3
595,3,16,7,2
596,5,4,8,1
597,17,15,9,0
598,15,12,10,0
599,14,14,11,0
600,21,3,12,0
601,13,5,13,0
602,25,17,14,0
603,11,22,15,0
604,20,19,16,0
605,16,20,17,0
606,22,8,18,0
607,24,18,0,0
608,19,23,0,0
609,18,7,0,0
610,29,21,0,0
611,13,5,1,10
612,8,6,2,8
613,4,1,3,6
614,2,9,4,5
615,1,2,5,4
616,5,4,6,3
617,3,16,7,2
618,9,10,8,1
619,21,3,9,0
620,14,14,10,0
621,25,17,11,0
622,23,11,12,0
623,18,7,13,0
624,19,23,14,0
625,24,18,15,0
626,15,12,16,0
627,22,8,17,0
628,11,22,18,0
629,20,19,19,0
630,29,21,20,0
631,16,20,21,0
632,17,15,0,0
633,4,1,1,10
634,1,2,2,8
635,8,6,3,6
636,2,9,4,5
637,9,10,5,4
638,3,16,6,3
639,5,4,7,2
640,18,7,8,1
641,17,15,9,0
642,22,8,10,0
643,15,12,11,0
644,21,3,12,0
645,25,17,13,0
646,19,23,14,0
647,23,11,15,0
648,11,22,16,0
649,24,18,17,0
650,20,19,18,0
651,16,20,19,0
652,29,21,20,0
653,13,5,0,0
654,14,14,0,0
655,8,6,1,10
656,13,5,2,8
657,4,1,3,6
658,1,2,4,5
659,2,9,5,4
660,3,16,6,3
661,17,15,7,2
662,5,4,8,1
663,9,10,9,0
664,23,11,10,0
665,15,12,11,0
666,24,18,12,0
667,22,8,13,0
668,16,20,14,0
669,11,22,15,0
670,19,23,16,0
671,29,21,17,0
672,18,7,0,0
673,25,17,0,0
674,14,14,0,0
675,20,19,0,0
676,21,3,0,0
677,1,2,1,10
678,5,4,2,8
679,8,6,3,6
680,14,14,4,5
681,21,3,5,4
682,13,5,6,3
683,9,10,7,2
684,16,20,8,1
685,24,18,9,0
686,22,8,10,0
687,18,7,11,0
688,29,21,12,0
689,15,12,13,0
690,2,9,14,0
691,11,22,15,0
692,23,11,0,0
693,19,23,0,0
694,3,16,0,0
695,20,19,0,0
696,17,15,0,0
697,4,1,0,0
698,25,17,0,0
699,8,6,1,10
700,4,1,2,8
701,13,5,3,6
702,20,19,4,5
703,18,7,5,4
704,24,18,6,3
705,2,9,7,2
706,14,14,8,1
707,5,4,9,0
708,17,15,10,0
709,21,3,11,0
710,25,17,12,0
711,15,12,13,0
712,11,22,14,0
713,22,8,15,0
714,3,16,16,0
715,29,21,17,0
716,9,10,0,0
717,1,2,0,0
718,23,11,0,0
719,16,20,0,0
720,19,23,0,0
721,8,6,1,10
722,13,5,2,8
723,4,1,3,6
724,3,16,4,5
725,9,10,5,4
726,2,9,6,3
727,1,2,7,2
728,15,12,8,1
729,14,14,9,0
730,6,17,10,0
731,23,11,11,0
732,11,22,12,0
733,24,18,13,0
734,19,23,14,0
735,16,20,0,0
736,22,8,0,0
737,5,4,0,0
738,20,19,0,0
739,18,7,0,0
740,17,15,0,0
741,29,21,0,0
742,21,3,0,0
743,4,1,1,10
744,30,5,2,8
745,8,3,3,6
746,18,12,4,5
747,31,4,5,4
748,17,9,6,3
749,3,10,7,2
750,32,15,8,1
751,13,6,9,0
752,14,14,10,0
753,24,20,11,0
754,2,16,12,0
755,26,21,13,0
756,23,7,14,0
757,22,11,15,0
