driver_id,driverRef
1,hamilton
2,heidfeld
3,rosberg
4,alonso
5,kovalainen
6,nakajima
7,bourdais
8,raikkonen
9,kubica
10,glock
11,sato
12,piquet_jr
13,massa
14,coulthard
15,trulli
16,sutil
17,webber
18,button
19,davidson
20,vettel
21,fisichella
22,barrichello
23,ralf_schumacher
24,liuzzi
25,wurz
26,speed
27,albers
28,markus_winkelhock
29,yamamoto
30,michael_schumacher
31,montoya
32,klien
33,monteiro
34,ide
35,villeneuve
36,montagny
37,rosa
38,doornbos
39,karthikeyan
40,friesacher
41,zonta
42,pizzonia
43,matta
44,panis
45,pantano
46,bruni
47,baumgartner
48,gene
49,frentzen
50,verstappen
51,wilson
52,firman
53,kiesa
54,burti
55,alesi
56,irvine
57,hakkinen
58,marques
59,bernoldi
60,mazzacane
61,enge
62,yoong
63,salo
64,diniz
65,herbert
66,mcnish
67,buemi
68,takagi
69,badoer
70,zanardi
71,damon_hill
72,sarrazin
73,rosset
74,tuero
75,nakano
76,magnussen
77,berger
78,larini
79,katayama
80,sospiri
81,morbidelli
82,fontana
83,lamy
84,brundle
85,montermini
86,lavaggi
87,blundell
88,suzuki
89,inoue
90,moreno
91,wendlinger
92,gachot
93,schiattarella
94,martini
95,mansell
96,boullion
97,papis
98,deletraz
99,tarquini
100,comas
101,brabham
102,senna
103,bernard
104,fittipaldi
105,alboreto
106,beretta
107,ratzenberger
108,belmondo
109,lehto
110,cesaris
111,gounon
112,alliot
113,adams
114,dalmas
115,noda
116,lagorce
117,prost
118,warwick
119,patrese
120,barbazza
121,andretti
122,capelli
123,boutsen
124,apicella
125,naspetti
126,toshio_suzuki
127,gugelmin
128,poele
129,grouillard
130,chiesa
131,modena
132,amati
133,caffi
134,bertaggia
135,mccarthy
136,lammers
137,piquet
138,satoru_nakajima
139,pirro
140,johansson
141,bailey
142,chaves
143,bartels
144,hattori
145,nannini
146,schneider
147,barilla
