nome,count(*)
NULL,26392
"Adelaide Street Circ",1
"Ain Diab",1
Aintree,1
"Albert Park Grand Pr",1
"AutÃ³dromo do Estori",1
"AutÃ³dromo Hermanos ",1
"AutÃ³dromo Internaci",2
"AutÃ³dromo JosÃ© Car",1
"AutÃ³dromo Juan y Os",1
"Autodromo Enzo e Din",1
"Autodromo Internazio",1
"Autodromo Nazionale ",1
AVUS,1
"Bahrain Internationa",1
"Baku City Circuit",1
"Brands Hatch",1
"Buddh International ",1
"Charade Circuit",1
"Circuit Bremgarten",1
"Circuit de Barcelona",1
"Circuit de Monaco",1
"Circuit de Nevers Ma",1
"Circuit de Pedralbes",1
"Circuit de Spa-Franc",1
"Circuit Gilles Ville",1
"Circuit Mont-Trembla",1
"Circuit of the Ameri",1
"Circuit Park Zandvoo",1
"Circuit Paul Ricard",1
"Circuito da Boavista",1
"Circuito de Jerez",1
"Detroit Street Circu",1
Dijon-Prenois,1
"Donington Park",1
"Fair Park",1
"Fuji Speedway",1
Hockenheimring,1
Hungaroring,1
"Indianapolis Motor S",1
"Istanbul Park",1
Jarama,1
"Jeddah Corniche Circ",1
"Korean International",1
Kyalami,1
"Las Vegas Street Cir",1
"Las Vegas Strip Stre",1
"Le Mans",1
"Long Beach",1
"Losail International",1
"Marina Bay Street Ci",1
"Miami International ",1
"Monsanto Park Circui",1
MontjuÃ¯c,1
"Mosport Internationa",1
NÃ¼rburgring,1
Nivelles-Baulers,1
"Okayama Internationa",1
"Pescara Circuit",1
"Phoenix street circu",1
"Prince George Circui",1
"Red Bull Ring",1
Reims-Gueux,1
"Riverside Internatio",1
Rouen-Les-Essarts,1
"Scandinavian Raceway",1
"Sebring Internationa",1
"Sepang International",1
"Shanghai Internation",1
"Silverstone Circuit",1
"Sochi Autodrom",1
"Suzuka Circuit",1
"Valencia Street Circ",1
"Watkins Glen",1
"Yas Marina Circuit",1
Zeltweg,1
Zolder,1
\N,70
